㪰 齋
㩰 摷
㩮 攑
㩪 擷
㩥 攕
䑺 帆
䑹 艘
㩛 摶
㩘 檥
㩕 拎
㩒 擒
㩎 擫
㩅 抽
㩃 搴
㩁 搉
㩀 據
㨼 掠
㨵 揃
㨱 搖
㩜 攬
㨫 攬
㨘 擤
㧽 稒
㧵 抔
㧨 扏
㧧 梳
㧖 扼
㧈 引
㧂 屇
㦸 戟
㦷 勇
㦳 㘽
㦧 憯
㦞 懤
㦖 懣
㦒 謧
㦍 愕
㦉 懿
㦂 常
慩 㦁
㶑 瀲
㽐 馦
㽒 甥
㴋 潚
㴊 淵
㤸 㦦
㤵 慈
㤬 恚
㥠 諝
㥕 憐
㤟 恐
㤀 忘
㣵 㒓
㣧 胤
㣘 䞤
㢸 弼
㢶 弼
㢴 西
㢪 弙
㢣 擎
㢢 弊
㢡 獎
㢠 迥
㢭 弢
㢕 廱
㡿 斥
㡧 幀
㡣 龍
㡢 幔
㡡 幮
㡠 幀
㠪 巨
㠝 巑
㠜 嶷
㠋 崿
㠄 嶍
㟭 岷
㟫 泉
㟟 巷
㟚 岐
㟗 邠
㟆 㠏
㞼 丞
㞺 族
㞮 出
㞩 嵐
㞕 屑
㞔 㢋
㞌 孕
㞙 尿
㝹 䨲
覍 㝸
㝴 刓
㝧 穩
㝦 寯
㝢 宇
㝔 窔
㜼 姪
㜸 孽
㜫 媄
㜪 姺
㜜 嫯
㜛 嫩
㛛 娠
㛔 妦
㛆 㛊
㛀 媰
媤 㚸
㙸 墣
㙶 堂
㙵 臺
㙬 垠
㙨 畿
㙧 塯
㙤 罅
㙟 塱
㙜 臺
㙚 垶
㙕 塊
㙔 韓
㙒 野
㙑 宇
㙉 腆
㘶 桀
㘴 坐
㘱 坍
㘰 斟
㘮 墿
㘪 耗
㘩 坒
㘡 柙
㘜 雔
囒 㘓
囇 㘑
㘅 銜
㗽 響
㗣 嚏
㗜 嗅
㗛 笑
㗖 啗
磇 砒
鯯 䱥
㗋 喉
㗃 吻
㗁 齶
㖾 咢
㖭 舔
㖣 咅
㖊 噚
㖂 詍
㖁 吝
㕼 哅
㕳 詾
㕡 壑
㕜 史
㕗 誘
㕔 廳
㕈 庡
麳 䅘
䊁 籸
䴫 羚
麢 羚
麖 麠
麏 麇
麄 麤
麁 麤
鸖 鶴
鸜 鴝
鶃 鶂
鵕 鵔
骪 骫
骩 骫
飅 飀
颣 纇
颕 穎
颒 頮
雧 集
雦 集
雤 鷽
鑎 匱
鑃 銚
鎭 鎮
鎫 鋄
鎜 盤
鐜 鐓
鐚 錏
鐛 䭘
鐞 鎒
鎁 釾
鍿 錙
鍯 鏓
鋢 鋝
鋛 礦
銒 鈃
鉃 鏃
鈟 釣
釡 釜
釠 亂
醩 糟
醤 醬
酙 斟
酔 醉
郌 邽
郉 邢
逰 遊
逓 遞
逎 遒
迯 逃
迬 往
軄 職
躹 鞠
躱 躲
逹 達
遀 隨
逷 逖
躛 躗
躃 躄
蹷 蹶
踋 腳
㔾 卩
㔽 卣
㔼 榫
㔺 世
㔳 簋
趞 踖
赼 趑
贁 敗
賖 賒
賔 賓
賎 賤
貮 貳
貦 玩
㡀 敝
㡓 褌
㡛 㡆
㡃 㡆
貎 猊
豑 秩
谺 岈
鈬 鐸
讛 囈
譱 善
謿 嘲
諩 譜
訫 信
觽 觿
觹 觿
襥 襆
褝 襌
褠 㡚
褤 褑
褏 褎
褀 帺
褃 裉
褈 緟
裵 裴
裭 褫
蠎 蟒
蠇 蠣
蟸 蠡
蟮 蟺
蟚 蟛
蟖 蟴
蟰 蠨
螙 蠹
䗓 蟌
踲 遯
蝿 蠅
螀 螿
蝋 蠟
䗏 螋
䗋 蛑
䗊 舕
䗈 虻
䖠 蚖
蜫 䖵
蜝 蜞
蛿 蜭
蛍 螢
蚦 蚺
蚏 蚎
蚃 蠁
䖀 虈
蘯 蕩
藮 樵
藌 蔤
薲 蘋
薫 薰
薗 園
蔿 蒍
蓈 稂
蒭 芻
蒃 篆
蒀 蒕
葢 蓋
葘 菑
葊 菴
葁 薑
䕝 蕂
萾 䕦
䕤 蘄
萠 萌
萟 藝
䓺 蘼
䓹 饐
䓷 荇
萂 䒩
菦 芹
莵 菟
蓘 蔉
蓚 蓨
蔅 妍
葕 莚
蓤 蔆
莜 蓧
茣 䓊
茡 芓
